Melting temp,Formula,Element1,#El1,phase,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,firstionE,Element2,#El2,phase,atomic_mass,boil,density,melt,electron_affinity,electronegativity_pauling,firstionE
-35.9,XeO4,Xe,1,3.0,131.2936,165.051,5.894,161.4,-77.0,2.6,1170.4,O,4,12.0,63.996,360.752,5.716,217.44,563.904,13.76,5255.6
25,XeO3,Xe,1,3.0,131.2936,165.051,5.894,161.4,-77.0,2.6,1170.4,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
500,Cs2O,Cs,2,2.0,265.810904,1888.0,3.86,603.4,91.01,1.58,751.4,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
450,BaO2,Ba,1,1.0,137.3277,2118.0,3.51,1000.0,13.954,0.89,502.9,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
1923,BaO,Ba,1,1.0,137.3277,2118.0,3.51,1000.0,13.954,0.89,502.9,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
2315,La2O3,La,2,2.0,277.810954,7474.0,12.324,2386.0,106.0,2.2,1076.2,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2570,CeO2,Ce,1,1.0,140.1161,3716.0,6.77,1068.0,55.0,1.12,534.4,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
2183,Pr6O11,Pr,6,6.0,845.445972,20418.0,40.62,7248.0,558.0,6.779999999999999,3162.0,O,11,33.0,175.989,992.068,15.719000000000001,597.96,1550.7359999999999,37.839999999999996,14452.900000000001
2272,Nd2O3,Nd,2,2.0,288.4846,6694.0,14.02,2594.0,369.74,2.28,1066.2,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2320,Pm2O3,Pm,2,2.0,290.0,6546.0,14.52,2630.0,24.9,2.26,1080.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2335,Sm2O3,Sm,2,2.0,300.724,4346.0,15.04,2690.0,31.26,2.34,1089.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
1900,Eu2O3,Eu,2,2.0,303.9282,3604.0,10.528,2198.0,22.4,2.4,1094.2,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2420,Gd2O3,Gd,2,2.0,314.506,6546.0,15.8,3170.0,26.44,2.4,1186.8,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2270,Tb4O7,Tb,4,4.0,635.701408,13584.0,32.92,6516.0,449.6,4.4,2263.2,O,7,21.0,111.99300000000001,631.316,10.003,380.52,986.832,24.08,9197.300000000001
2400,Dy2O3,Dy,2,2.0,325.0002,5680.0,17.08,3360.0,67.92,2.44,1146.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2415,Ho2O3,Ho,2,2.0,329.860664,5746.0,17.58,3468.0,65.22,2.46,1162.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2344,Er2O3,Er,2,2.0,334.5186,6282.0,18.132,3604.0,60.2,2.48,1178.6,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2300,Tm2O3,Tm,2,2.0,337.868444,4446.0,18.64,3636.0,198.0,2.5,1193.4,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2425,Yb2O3,Yb,2,2.0,346.0902,2938.0,13.8,2194.0,-3.86,2.2,1206.8,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2410,Lu2O3,Lu,2,2.0,349.93362,7350.0,19.682,3850.0,66.8,2.54,1047.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
2812,HfO2,Hf,1,1.0,178.492,4876.0,13.31,2506.0,17.18,1.3,658.5,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
1800,Ta2O5,Ta,2,2.0,361.895764,11462.0,33.38,6580.0,62.0,3.0,1522.0,O,5,15.0,79.995,450.94,7.1450000000000005,271.8,704.88,17.2,6569.5
1600,WO2,W,1,1.0,183.841,6203.0,19.25,3695.0,78.76,2.36,770.0,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
1473,WO3,W,1,1.0,183.841,6203.0,19.25,3695.0,78.76,2.36,770.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
360,Re2O7,Re,2,2.0,372.4142,11738.0,42.04,6918.0,11.6546,3.8,1520.0,O,7,21.0,111.99300000000001,631.316,10.003,380.52,986.832,24.08,9197.300000000001
410,OsO2,Os,1,1.0,190.233,5285.0,22.59,3306.0,103.99,2.2,840.0,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
40.25,OsO4,Os,1,1.0,190.233,5285.0,22.59,3306.0,103.99,2.2,840.0,O,4,12.0,63.996,360.752,5.716,217.44,563.904,13.76,5255.6
1100,IrO2,Ir,1,1.0,192.2173,4403.0,22.56,2719.0,150.94,2.2,880.0,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
450,PtO2,Pt,1,1.0,195.0849,4098.0,21.45,2041.4,205.041,2.28,870.0,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
-150,Au2O,Au,2,2.0,393.933139,6486.0,38.6,2674.66,445.494,5.08,1780.2,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
500,HgO,Hg,1,5.0,200.5923,629.88,13.534,234.321,-48.0,2.0,1007.1,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
1843,Ti2O,Ti,2,2.0,95.7342,7120.0,9.012,3882.0,14.578,3.08,1317.6,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
2130,Ti2O3,Ti,2,2.0,95.7342,7120.0,9.012,3882.0,14.578,3.08,1317.6,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
888,PbO,Pb,1,1.0,207.21,2022.0,11.34,600.61,34.4204,1.87,715.6,O,1,3.0,15.999,90.188,1.429,54.36,140.976,3.44,1313.9
290,PbO2,Pb,1,1.0,207.21,2022.0,11.34,600.61,34.4204,1.87,715.6,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
820,Bi2O3,Bi,2,2.0,417.960802,3674.0,19.56,1089.4,181.848,4.04,1406.0,O,3,9.0,47.997,270.564,4.287,163.07999999999998,422.928,10.32,3941.7000000000003
500,PoO2,Po,1,1.0,209.0,1235.0,9.196,527.0,136.0,2.0,812.1,O,2,6.0,31.998,180.376,2.858,108.72,281.952,6.88,2627.8
