0,1,2,3,4,5,6,7,8,9
K,Ag,Sn,S,O,O,,,,
P,H,C,N,O,F,O,,,
Nd,Mo,O,O,,,,,,
Cs,Sb,Se,O,,,,,,
Nb,Sb,O,,,,,,,
Te,I,O,,,,,,,
Cr,Co,C,N,O,O,,,,
Nd,Mg,Sn,O,,,,,,
Zr,Ge,Se,O,,,,,,
Mn,Si,Mo,O,,,,,,
La,Co,Sb,O,,,,,,
Tb,Co,O,,,,,,,
Ba,Ca,W,N,O,,,,,
Tb,Cu,Pb,O,,,,,,
Yb,Mn,O,,,,,,,
Mo,O,K,O,,,,,,
Sc,Co,B,O,,,,,,
Na,Be,F,O,,,,,,
Ag,Te,O,O,,,,,,
In,S,Br,O,,,,,,
N,Na,Cu,Fe,C,O,,,,
Ho,C,O,,,,,,,
Rb,Hg,Se,O,,,,,,
Sb,Au,Xe,F,O,,,,,
Si,Cl,Bi,H,C,As,O,,,
Gd,In,Pd,O,,,,,,
B,Mo,O,,,,,,,
Ag,Cl,O,O,,,,,,
Na,Cu,P,Cl,O,O,,,,
Tl,S,Br,O,,,,,,
Se,N,Cl,O,,,,,,
Nd,Eu,Cu,S,O,,,,,
Sm,I,O,O,,,,,,
Ce,B,Rh,O,,,,,,
Tb,Zn,O,,,,,,,
Gd,Cu,Sn,S,O,,,,,
N,H,Ca,O,C,O,,,,
Ca,Cr,Cl,O,O,,,,,
U,O,C,O,,,,,,
Ba,Pd,F,O,,,,,,
In,Bi,Br,O,,,,,,
Er,Zn,O,,,,,,,
Sm,Ta,O,O,,,,,,
Ag,B,O,O,,,,,,
Mo,O,Hf,O,,,,,,
Rb,P,Se,O,,,,,,
Tl,Mo,Se,O,O,,,,,
Yb,Al,Sb,O,,,,,,
Nb,Pt,O,,,,,,,
Fe,S,Cl,O,,,,,,
H,I,N,O,,,,,,
Cs,Ti,O,F,O,,,,,
P,H,O,Al,O,,,,,
Ba,U,Se,O,,,,,,
Ho,Hg,O,,,,,,,
Si,O,Cs,Al,O,,,,,
Gd,As,Au,O,,,,,,
Ga,Br,O,,,,,,,
K,Ga,B,O,O,,,,,
Ta,Mn,Ge,O,,,,,,
Cr,Ag,Te,O,,,,,,
N,Re,O,C,K,O,,,,
Fe,Mo,O,O,,,,,,
Ce,Si,Ru,O,,,,,,
La,O,Cu,Se,O,,,,,
Rb,I,O,,,,,,,
Tm,Ir,O,,,,,,,
Y,Si,Rh,O,,,,,,
Li,Co,P,O,O,,,,,
N,Ni,H,S,O,,,,,
Zn,P,H,O,O,,,,,
Li,U,O,O,,,,,,
Zr,In,O,,,,,,,
Cr,Rh,O,,,,,,,
Co,H,N,Cl,O,O,,,,
V,Er,Ga,O,,,,,,
N,Cl,Zn,O,,,,,,
Tm,B,O,,,,,,,
Ba,Gd,Co,O,O,,,,,
Gd,In,C,O,,,,,,
U,P,O,O,,,,,,
Yb,H,C,N,O,O,,,,
Fe,P,W,C,Br,O,O,,,
Pr,Zn,Fe,O,,,,,,
Tm,Fe,B,O,,,,,,
Tm,Mo,O,F,O,,,,,
U,Ti,Se,O,,,,,,
Yb,Ga,O,,,,,,,
Ca,Cd,Pb,O,,,,,,
N,Ba,H,O,C,O,,,,
Yb,V,O,O,,,,,,
Pr,Pb,Au,O,,,,,,
